provincia,departamento,m202108
Santiago Del Estero,Quebrachos,55725
Santiago Del Estero,Rivadavia,65240
Santiago Del Estero,Robles,58258
Santiago Del Estero,Río Hondo,58050
Santiago Del Estero,Salavina,51619
Santiago Del Estero,San Martín,46617
Santiago Del Estero,Sarmiento,53130
Santiago Del Estero,Silípica,52710
Tierra Del Fuego,Río Grande,133718
Tierra Del Fuego,Tolhuin,133718
Tierra Del Fuego,Ushuaia,132146
Tucuman,Burruyacú,44908
Tucuman,Capital,78072
Tucuman,Chicligasta,71424
Tucuman,Cruz Alta,57781
Tucuman,Famaillá,56872
Tucuman,Graneros,56972
Tucuman,Juan Bautista Alberdi,61542
Tucuman,La Cocha,51927
Tucuman,Leales,52245
Tucuman,Lules,62238
Tucuman,Monteros,57564
Tucuman,Río Chico,59284
Tucuman,Simoca,51215
Tucuman,Tafí Viejo,67517
Tucuman,Tafí del Valle,53401
Tucuman,Trancas,54469
Tucuman,Yerba Buena,89060
