name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p,latitude,longitude
La Rioja,General Juan Facundo Quiroga,4013,3436,550,27,1922,1639,268,15,2091,1797,282,12,0.8562172937951658,0.1370545726389235,0.0067281335659107,0.8527575442247659,0.1394380853277835,0.0078043704474505,0.8593974175035868,0.1348637015781922,0.0057388809182209,-30.8006382527121,-66.8678571954155
La Rioja,General Lamadrid,1885,1637,237,11,970,843,119,8,915,794,118,3,0.8684350132625994,0.1257294429708222,0.0058355437665782,0.8690721649484536,0.122680412371134,0.0082474226804123,0.8677595628415301,0.1289617486338797,0.0032786885245901,-28.7904386774179,-68.6975444932226
La Rioja,General Ortiz de Ocampo,7347,6184,1128,35,3637,3042,578,17,3710,3142,550,18,0.8417040969103036,0.1535320538995508,0.0047638491901456,0.8364036293648611,0.158922188616992,0.0046741820181468,0.846900269541779,0.1482479784366576,0.0048517520215633,-31.0067607030974,-66.0589849758729
La Rioja,General San Martín,5017,4213,791,13,2496,2113,377,6,2521,2100,414,7,0.8397448674506677,0.1576639425951764,0.0025911899541558,0.8465544871794872,0.1510416666666666,0.0024038461538461,0.8330027766759223,0.1642205474018246,0.002776675922253,-31.6414651427458,-66.1458162300477
La Rioja,Independencia,2399,2147,247,5,1190,1051,138,1,1209,1096,109,4,0.8949562317632347,0.1029595664860358,0.0020842017507294,0.8831932773109243,0.1159663865546218,0.0008403361344537,0.9065343258891646,0.0901571546732837,0.0033085194375516,-30.1144556417024,-67.3355098029644
La Rioja,Rosario Vera Peñaloza,15764,12454,3246,64,8011,6311,1661,39,7753,6143,1585,25,0.7900279116975387,0.2059122050241055,0.0040598832783557,0.7877917862938459,0.2073399076270128,0.0048683060791411,0.7923384496324004,0.2044369921320779,0.0032245582355217,-31.4229834527921,-66.6741641296595
La Rioja,San Blas de Los Sauces,4306,3654,615,37,2184,1837,325,22,2122,1817,290,15,0.8485833720390153,0.1428239665582907,0.0085926614026939,0.8411172161172161,0.1488095238095238,0.01007326007326,0.8562676720075401,0.1366635249764373,0.0070688030160226,-28.5432938438178,-67.1581352967929
La Rioja,Sanagasta,2994,2434,531,29,1540,1241,284,15,1454,1193,247,14,0.8129592518370073,0.1773547094188376,0.0096860387441549,0.8058441558441558,0.1844155844155844,0.0097402597402597,0.8204951856946355,0.1698762035763411,0.0096286107290233,-29.1585269700836,-67.0658836337284
La Rioja,Vinchina,2695,2487,200,8,1305,1203,98,4,1390,1284,102,4,0.9228200371057514,0.0742115027829313,0.0029684601113172,0.92183908045977,0.075095785440613,0.0030651340996168,0.9237410071942446,0.0733812949640287,0.0028776978417266,-28.3166977149073,-68.5252928296074
Mendoza,Capital,123715,95432,21695,6588,66218,50541,12006,3671,57497,44891,9689,2917,0.771385846502041,0.1753627288526048,0.0532514246453542,0.7632516838321907,0.1813102177655622,0.0554380984022471,0.7807537784580065,0.1685131398159904,0.0507330817260031,-32.8828960440395,-68.893648801808
