name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p
Buenos Aires,partido Chacabuco,52409,47049,4001,1359,27019,24194,2115,710,25390,22855,1886,649,0.897727489553321,0.07634184968230648,0.025930660764372532,0.8954439468522151,0.07827824863984603,0.02627780450793886,0.9001575423395037,0.07428121307601418,0.02556124458448208
Buenos Aires,partido Chascomús,42191,38580,2878,733,21680,19753,1537,390,20511,18827,1341,343,0.9144130264748406,0.06821360005688416,0.017373373468275225,0.9111162361623616,0.07089483394833948,0.017988929889298892,0.9178977134220662,0.06537955243527863,0.01672273414265516
Buenos Aires,partido Chivilcoy,70554,64051,4990,1513,36832,33348,2690,794,33722,30703,2300,719,0.9078294639566856,0.070725968761516,0.02144456728179834,0.9054083405734145,0.07303431798436143,0.021557341442224154,0.9104738746219085,0.06820473281537276,0.0213213925627187
Buenos Aires,partido Colón,27406,22906,4112,388,14089,11690,2201,198,13317,11216,1911,190,0.8358023790410859,0.1500401371962344,0.014157483762679704,0.8297253176236781,0.156221165448222,0.014053516928099936,0.8422317338739956,0.1435007884658707,0.014267477660133664
Buenos Aires,partido Coronel de Marina Leonardo Rosales,65823,48739,15918,1166,34150,25217,8214,719,31673,23522,7704,447,0.7404554638955988,0.2418303632468894,0.017714172857511812,0.7384187408491947,0.24052708638360176,0.021054172767203515,0.7426514697060588,0.24323556341363306,0.014112966880308149
Buenos Aires,partido Coronel Dorrego,15795,14834,763,198,8095,7559,423,113,7700,7275,340,85,0.9391579613801836,0.04830642608420386,0.012535612535612535,0.933786287831995,0.0522544780728845,0.013959234095120445,0.9448051948051948,0.04415584415584416,0.01103896103896104
Buenos Aires,partido Coronel Pringles,24110,20857,2930,323,12535,10825,1542,168,11575,10032,1388,155,0.8650767316466197,0.12152633761924513,0.013396930734135214,0.8635819704826486,0.1230155564419625,0.01340247307538891,0.8666954643628509,0.11991360691144709,0.013390928725701945
Buenos Aires,partido Coronel Suárez,41713,39132,2158,423,21416,20006,1151,259,20297,19126,1007,164,0.9381248052165991,0.05173447126795004,0.010140723515450818,0.9341613746731415,0.05374486365334329,0.012093761673515129,0.9423067448391388,0.049613243336453665,0.008080011824407547
Buenos Aires,partido Daireaux,18328,16658,1316,354,9341,8445,681,215,8987,8213,635,139,0.9088825840244434,0.0718027062418158,0.019314709733740724,0.9040787924205117,0.07290439995717803,0.023016807622310245,0.9138755980861244,0.07065761655724936,0.015466785356626237
Buenos Aires,partido Dolores,31405,28861,2029,515,16276,15012,1003,261,15129,13849,1026,254,0.9189937907976437,0.06460754656901767,0.01639866263333864,0.9223396411894814,0.06162447775866306,0.016035881051855494,0.9153942758939785,0.0678167757287329,0.01678894837728865
Buenos Aires,partido Ensenada,63978,56034,5992,1952,32999,28734,3174,1091,30979,27300,2818,861,0.8758323173590922,0.0936571946606646,0.03051048798024321,0.870753659201794,0.09618473287069305,0.033061607927512955,0.8812421317666806,0.09096484715452403,0.02779302107879531
Buenos Aires,partido Escobar,256071,193568,49064,13439,130340,97634,25449,7257,125731,95934,23615,6182,0.7559153516017042,0.19160311007494016,0.052481538323355635,0.7490716587386834,0.19525088230781035,0.05567745895350622,0.7630099179995387,0.18782161917108747,0.04916846282937382
