provincia,departamento,m202108,id
Corrientes,Paso de los Libres,88981.0,40.0
Corrientes,Saladas,84408.0,30.0
Corrientes,San Cosme,76756.0,448.0
Corrientes,San Luis del Palmar,75798.0,32.0
Corrientes,San Martín,75362.0,39.0
Corrientes,San Miguel,66004.0,46.0
Corrientes,San Roque,67259.0,29.0
Corrientes,Santo Tomé,76859.0,37.0
Corrientes,Sauce,68787.0,43.0
Entre Rios,Colón,83599.0,3.0
Entre Rios,Concordia,81443.0,1.0
Entre Rios,Diamante,78147.0,15.0
Entre Rios,Federación,70911.0,11.0
Entre Rios,Federal,70907.0,5.0
Entre Rios,Feliciano,71672.0,13.0
Entre Rios,Gualeguay,79464.0,10.0
Entre Rios,Gualeguaychú,88627.0,8.0
Entre Rios,Islas del Ibicuy,88794.0,9.0
Entre Rios,La Paz,73988.0,12.0
Entre Rios,Nogoyá,78739.0,6.0
Entre Rios,Paraná,86867.0,17.0
Entre Rios,San Salvador,76064.0,2.0
Entre Rios,Tala,78593.0,7.0
Entre Rios,Uruguay,86196.0,16.0
Entre Rios,Victoria,76343.0,14.0
Entre Rios,Villaguay,74666.0,4.0
Formosa,Bermejo,60220.0,364.0
Formosa,Formosa,88050.0,275.0
Formosa,Laishi,63997.0,361.0
Formosa,Matacos,84724.0,426.0
Formosa,Patiño,72243.0,363.0
Formosa,Pilagás,66993.0,360.0
Formosa,Pilcomayo,78175.0,274.0
Formosa,Pirané,72740.0,362.0
Formosa,Ramón Lista,,273.0
Jujuy,Cochinoca,72944.0,260.0
Jujuy,Dr. Manuel Belgrano,69509.0,262.0
Jujuy,El Carmen,54214.0,264.0
Jujuy,Humahuaca,68873.0,267.0
Jujuy,Ledesma,66164.0,266.0
Jujuy,Palpalá,63271.0,259.0
Jujuy,Rinconada,80819.0,272.0
Jujuy,San Antonio,47931.0,263.0
Jujuy,San Pedro,58327.0,270.0
Jujuy,Santa Bárbara,50410.0,265.0
Jujuy,Santa Catalina,43670.0,269.0
Jujuy,Susques,63633.0,421.0
Jujuy,Tilcara,58517.0,258.0
Jujuy,Tumbaya,59407.0,261.0
Jujuy,Valle Grande,45350.0,271.0
Jujuy,Yavi,72212.0,268.0
La Pampa,Atreucó,95051.0,387.0
La Pampa,Caleu Caleu,98015.0,388.0
La Pampa,Capital,108017.0,251.0
La Pampa,Catriló,91551.0,386.0
La Pampa,Chalileo,98926.0,248.0
La Pampa,Chapaleufú,89839.0,392.0
La Pampa,Chical Co,102597.0,495.0
La Pampa,Conhelo,92730.0,257.0
La Pampa,Guatraché,92991.0,389.0
La Pampa,Hucal,97312.0,390.0
La Pampa,Loventué,94024.0,249.0
La Pampa,Maracó,97867.0,384.0
La Pampa,Puelén,136376.0,496.0
La Pampa,Quemú Quemú,92027.0,385.0
La Pampa,Rancul,87813.0,256.0
La Pampa,Realicó,93731.0,246.0
La Pampa,Toay,101802.0,250.0
La Pampa,Trenel,84556.0,247.0
La Pampa,Utracán,99744.0,253.0
La Rioja,Arauco,63284.0,245.0
La Rioja,Capital,64068.0,432.0
La Rioja,Castro Barros,47387.0,231.0
La Rioja,Chamical,58728.0,240.0
La Rioja,Chilecito,55403.0,233.0
La Rioja,Famatina,52317.0,243.0
La Rioja,General Belgrano,54885.0,239.0
La Rioja,General Felipe Varela,59336.0,395.0
La Rioja,General Juan Facundo Quiroga,41465.0,236.0
La Rioja,General Lamadrid,43830.0,300.0
La Rioja,General Ortiz de Ocampo,46043.0,238.0
La Rioja,General San Martín,49559.0,241.0
La Rioja,Independencia,44995.0,235.0
La Rioja,Rosario Vera Peñaloza,54070.0,237.0
La Rioja,San Blas de Los Sauces,44863.0,244.0
La Rioja,Sanagasta,27387.0,232.0
La Rioja,Vinchina,50800.0,242.0
La Rioja,Ángel Vicente Peñaloza,49422.0,234.0
Mendoza,Capital,92378.0,224.0
Mendoza,General Alvear,72957.0,228.0
Mendoza,Godoy Cruz,85308.0,225.0
Mendoza,Guaymallén,79529.0,221.0
Mendoza,Junín,66489.0,226.0
Mendoza,La Paz,66613.0,229.0
Mendoza,Las Heras,72109.0,437.0
Mendoza,Lavalle,57841.0,438.0
Mendoza,Luján de Cuyo,91836.0,349.0
Mendoza,Maipú,79149.0,223.0
Mendoza,Malargüe,95346.0,439.0
Mendoza,Rivadavia,66902.0,227.0
Mendoza,San Carlos,66021.0,347.0
Mendoza,San Martín,70583.0,220.0
Mendoza,San Rafael,75922.0,230.0
Mendoza,Santa Rosa,57824.0,222.0
Mendoza,Tunuyán,68109.0,348.0
Mendoza,Tupungato,59999.0,346.0
Misiones,25 de Mayo,83061.0,354.0
Misiones,Apóstoles,79115.0,20.0
